Time (s);IRQ;;FSM;
-0.02563783;0;0;1;3.13E-06
-0.0256347;0;0;1;3.13E-06
-0.02563157;0;0;1;3.13E-06
-0.02562844;0;0;1;3.13E-06
-0.02562531;0;0;1;3.13E-06
-0.02562218;0;0;1;3.13E-06
-0.02561905;0;0;1;3.13E-06
-0.02561592;0;0;1;3.13E-06
-0.02561279;0;0;1;3.13E-06
-0.02560966;0;0;1;3.13E-06
-0.02560653;0;0;1;3.13E-06
-0.0256034;0;0;1;3.13E-06
-0.02560027;1;3.13E-06;1;3.13E-06
-0.02559714;1;3.13E-06;1;3.13E-06
-0.02559401;0;0;1;3.13E-06
-0.02559088;0;0;1;3.13E-06
-0.02558775;0;0;1;3.13E-06
-0.02558462;0;0;1;3.13E-06
-0.02558149;0;0;1;3.13E-06
-0.02557836;0;0;1;3.13E-06
-0.02557523;0;0;1;3.13E-06
-0.0255721;0;0;1;3.13E-06
-0.02556897;0;0;1;3.13E-06
-0.02556584;0;0;1;3.13E-06
-0.02556271;0;0;1;3.13E-06
-0.02555958;0;0;1;3.13E-06
-0.02555645;0;0;1;3.13E-06
-0.02555332;0;0;1;3.13E-06
-0.02555019;0;0;1;3.13E-06
-0.02554706;0;0;1;3.13E-06
-0.02554393;0;0;1;3.13E-06
-0.0255408;0;0;1;3.13E-06
-0.02553767;0;0;1;3.13E-06
-0.02553454;0;0;1;3.13E-06
-0.02553141;0;0;1;3.13E-06
-0.02552828;0;0;1;3.13E-06
-0.02552515;0;0;1;3.13E-06
-0.02552202;0;0;1;3.13E-06
-0.02551889;0;0;1;3.13E-06
-0.02551576;0;0;1;3.13E-06
-0.02551263;0;0;1;3.13E-06
-0.0255095;0;0;1;3.13E-06
-0.02550637;0;0;1;3.13E-06
-0.02550324;0;0;1;3.13E-06
-0.02550011;0;0;1;3.13E-06
-0.02549698;0;0;1;3.13E-06
-0.02549385;0;0;1;3.13E-06
-0.02549072;0;0;1;3.13E-06
-0.02548759;0;0;1;3.13E-06
-0.02548446;0;0;1;3.13E-06
-0.02548133;0;0;1;3.13E-06
-0.0254782;0;0;1;3.13E-06
-0.02547507;0;0;1;3.13E-06
-0.02547194;0;0;1;3.13E-06
-0.02546881;0;0;1;3.13E-06
-0.02546568;0;0;1;3.13E-06
-0.02546255;0;0;1;3.13E-06
-0.02545942;0;0;1;3.13E-06
-0.02545629;0;0;1;3.13E-06
-0.02545316;0;0;1;3.13E-06
-0.02545003;0;0;1;3.13E-06
-0.0254469;0;0;1;3.13E-06
-0.02544377;0;0;1;3.13E-06
-0.02544064;1;3.13E-06;1;3.13E-06
-0.02543751;1;3.13E-06;1;3.13E-06
-0.02543438;0;0;1;3.13E-06
-0.02543125;0;0;1;3.13E-06
-0.02542812;0;0;1;3.13E-06
-0.02542499;0;0;1;3.13E-06
-0.02542186;0;0;1;3.13E-06
-0.02541873;0;0;1;3.13E-06
-0.0254156;0;0;1;3.13E-06
-0.02541247;0;0;1;3.13E-06
-0.02540934;0;0;1;3.13E-06
-0.02540621;0;0;1;3.13E-06
-0.02540308;0;0;1;3.13E-06
-0.02539995;0;0;1;3.13E-06
-0.02539682;0;0;1;3.13E-06
-0.02539369;0;0;1;3.13E-06
-0.02539056;0;0;1;3.13E-06
-0.02538743;0;0;1;3.13E-06
-0.0253843;0;0;1;3.13E-06
-0.02538117;0;0;1;3.13E-06
-0.02537804;0;0;1;3.13E-06
-0.02537491;0;0;1;3.13E-06
-0.02537178;0;0;1;3.13E-06
-0.02536865;0;0;1;3.13E-06
-0.02536552;0;0;1;3.13E-06
-0.02536239;0;0;1;3.13E-06
-0.02535926;0;0;1;3.13E-06
-0.02535613;0;0;1;3.13E-06
-0.025353;0;0;1;3.13E-06
-0.02534987;0;0;1;3.13E-06
-0.02534674;0;0;1;3.13E-06
-0.02534361;0;0;1;3.13E-06
-0.02534048;0;0;1;3.13E-06
-0.02533735;0;0;1;3.13E-06
-0.02533422;0;0;1;3.13E-06
-0.02533109;0;0;1;3.13E-06
-0.02532796;0;0;1;3.13E-06
-0.02532483;0;0;1;3.13E-06
-0.0253217;0;0;1;3.13E-06
-0.02531857;0;0;1;3.13E-06
-0.02531544;0;0;1;3.13E-06
-0.02531231;0;0;1;3.13E-06
-0.02530918;0;0;1;3.13E-06
-0.02530605;0;0;1;3.13E-06
-0.02530292;0;0;1;3.13E-06
-0.02529979;0;0;1;3.13E-06
-0.02529666;0;0;1;3.13E-06
-0.02529353;0;0;1;3.13E-06
-0.0252904;0;0;1;3.13E-06
-0.02528727;0;0;1;3.13E-06
-0.02528414;0;0;1;3.13E-06
-0.02528101;0;0;1;3.13E-06
-0.02527788;0;0;1;3.13E-06
-0.02527475;0;0;1;3.13E-06
-0.02527162;0;0;1;3.13E-06
-0.02526849;0;0;1;3.13E-06
-0.02526536;0;0;1;3.13E-06
-0.02526223;0;0;1;3.13E-06
-0.0252591;0;0;1;3.13E-06
-0.02525597;0;0;1;3.13E-06
-0.02525284;0;0;1;3.13E-06
-0.02524971;0;0;1;3.13E-06
-0.02524658;0;0;1;3.13E-06
-0.02524345;0;0;1;3.13E-06
-0.02524032;0;0;1;3.13E-06
-0.02523719;0;0;1;3.13E-06
-0.02523406;0;0;1;3.13E-06
-0.02523093;0;0;1;3.13E-06
-0.0252278;0;0;1;3.13E-06
-0.02522467;0;0;1;3.13E-06
-0.02522154;0;0;1;3.13E-06
-0.02521841;0;0;1;3.13E-06
-0.02521528;0;0;1;3.13E-06
-0.02521215;0;0;1;3.13E-06
-0.02520902;0;0;1;3.13E-06
-0.02520589;0;0;1;3.13E-06
-0.02520276;0;0;1;3.13E-06
-0.02519963;0;0;1;3.13E-06
-0.0251965;0;0;1;3.13E-06
-0.02519337;0;0;1;3.13E-06
-0.02519024;0;0;1;3.13E-06
-0.02518711;0;0;1;3.13E-06
-0.02518398;0;0;1;3.13E-06
-0.02518085;0;0;1;3.13E-06
-0.02517772;0;0;1;3.13E-06
-0.02517459;0;0;1;3.13E-06
-0.02517146;0;0;1;3.13E-06
-0.02516833;0;0;1;3.13E-06
-0.0251652;0;0;1;3.13E-06
-0.02516207;0;0;1;3.13E-06
-0.02515894;0;0;1;3.13E-06
-0.02515581;0;0;1;3.13E-06
-0.02515268;0;0;1;3.13E-06
-0.02514955;0;0;1;3.13E-06
-0.02514642;0;0;1;3.13E-06
-0.02514329;0;0;1;3.13E-06
-0.02514016;0;0;1;3.13E-06
-0.02513703;0;0;1;3.13E-06
-0.0251339;0;0;1;3.13E-06
-0.02513077;0;0;1;3.13E-06
-0.02512764;0;0;1;3.13E-06
-0.02512451;0;0;1;3.13E-06
-0.02512138;0;0;1;3.13E-06
-0.02511825;0;0;1;3.13E-06
-0.02511512;0;0;1;3.13E-06
-0.02511199;0;0;1;3.13E-06
-0.02510886;0;0;1;3.13E-06
-0.02510573;0;0;1;3.13E-06
-0.0251026;0;0;1;3.13E-06
-0.02509947;0;0;1;3.13E-06
-0.02509634;0;0;1;3.13E-06
-0.02509321;0;0;1;3.13E-06
-0.02509008;0;0;1;3.13E-06
-0.02508695;0;0;1;3.13E-06
-0.02508382;0;0;1;3.13E-06
-0.02508069;0;0;1;3.13E-06
-0.02507756;1;3.13E-06;1;3.13E-06
-0.02507443;1;3.13E-06;1;3.13E-06
-0.0250713;0;0;1;3.13E-06
-0.02506817;0;0;1;3.13E-06
-0.02506504;0;0;1;3.13E-06
-0.02506191;0;0;1;3.13E-06
