Time (s);IRQ;;FSM;
-1.25E-06;0;0;1;0.00000125
0;0;0;1;0.00000125
1.25E-06;0;0;1;0.00000125
2.50E-06;0;0;1;0.00000125
3.75E-06;0;0;1;0.00000125
5.00E-06;0;0;1;0.00000125
6.25E-06;0;0;1;0.00000125
7.50E-06;0;0;1;0.00000125
8.75E-06;0;0;1;0.00000125
1.00E-05;0;0;1;0.00000125
1.13E-05;0;0;1;0.00000125
1.25E-05;0;0;1;0.00000125
1.38E-05;0;0;1;0.00000125
1.50E-05;0;0;1;0.00000125
1.63E-05;0;0;1;0.00000125
1.75E-05;0;0;1;0.00000125
1.88E-05;0;0;1;0.00000125
2.00E-05;0;0;1;0.00000125
2.13E-05;0;0;1;0.00000125
2.25E-05;0;0;1;0.00000125
2.38E-05;0;0;1;0.00000125
2.50E-05;0;0;1;0.00000125
2.63E-05;0;0;1;0.00000125
2.75E-05;0;0;1;0.00000125
2.88E-05;0;0;1;0.00000125
3.00E-05;0;0;1;0.00000125
3.13E-05;0;0;1;0.00000125
3.25E-05;0;0;1;0.00000125
3.38E-05;0;0;1;0.00000125
3.50E-05;0;0;1;0.00000125
3.63E-05;0;0;1;0.00000125
3.75E-05;0;0;1;0.00000125
3.88E-05;0;0;1;0.00000125
4.00E-05;0;0;1;0.00000125
4.13E-05;0;0;1;0.00000125
4.25E-05;0;0;1;0.00000125
4.38E-05;0;0;1;0.00000125
4.50E-05;0;0;1;0.00000125
4.63E-05;0;0;1;0.00000125
4.75E-05;0;0;1;0.00000125
4.88E-05;0;0;1;0.00000125
5.00E-05;0;0;1;0.00000125
5.13E-05;0;0;1;0.00000125
5.25E-05;0;0;1;0.00000125
5.38E-05;0;0;1;0.00000125
5.50E-05;0;0;1;0.00000125
5.63E-05;0;0;1;0.00000125
5.75E-05;0;0;1;0.00000125
5.88E-05;0;0;1;0.00000125
6.00E-05;0;0;1;0.00000125
6.13E-05;0;0;1;0.00000125
6.25E-05;0;0;1;0.00000125
6.38E-05;0;0;1;1.25E-06
6.50E-05;0;0;1;0.00000125
6.63E-05;0;0;1;0.00000125
6.75E-05;0;0;1;0.00000125
6.88E-05;0;0;1;1.25E-06
7.00E-05;0;0;1;0.00000125
7.13E-05;0;0;1;0.00000125
7.25E-05;0;0;1;0.00000125
7.38E-05;0;0;1;1.25E-06
7.50E-05;0;0;1;0.00000125
7.63E-05;0;0;1;0.00000125
7.75E-05;0;0;1;0.00000125
7.88E-05;0;0;1;0.00000125
8.00E-05;0;0;1;1.25E-06
8.13E-05;0;0;1;0.00000125
8.25E-05;0;0;1;0.00000125
8.38E-05;0;0;1;0.00000125
8.50E-05;0;0;1;1.25E-06
8.63E-05;0;0;1;0.00000125
8.75E-05;0;0;1;0.00000125
8.88E-05;0;0;1;0.00000125
9.00E-05;0;0;1;1.25E-06
9.13E-05;0;0;1;0.00000125
9.25E-05;0;0;1;0.00000125
9.38E-05;0;0;1;0.00000125
9.50E-05;0;0;1;1.25E-06
9.63E-05;0;0;1;0.00000125
9.75E-05;0;0;1;0.00000125
9.88E-05;0;0;1;0.00000125
0.0001;0;0;1;1.25E-06
0.00010125;0;0;1;0.00000125
0.0001025;0;0;1;0.00000125
0.00010375;0;0;1;0.00000125
0.000105;0;0;1;1.25E-06
0.00010625;0;0;1;0.00000125
0.0001075;0;0;1;0.00000125
0.00010875;0;0;1;0.00000125
0.00011;0;0;1;1.25E-06
0.00011125;0;0;1;0.00000125
0.0001125;0;0;1;0.00000125
0.00011375;0;0;1;0.00000125
0.000115;0;0;1;0.00000125
0.00011625;0;0;1;1.25E-06
